Keyword;Position;Previous position;Search Volume;Keyword Difficulty;CPC;URL;Traffic;Traffic (%);Traffic Cost;Competition;Number of Results;Trends;Timestamp;SERP Features by Keyword;Keyword Intents;Position Type
labradorite labradorite;1;1;1900;34;0.19;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;77;12.66;14.00;0.85;11100000;[5,5,7,18,24,29,53,100,44,35,100,18];2025-10-12;Sitelinks, Video, Image, Video Carousel, People also ask, Related searches;commercial, informational;People also ask
reza gem collection;1;1;70;28;0.00;https://rezagemcollection.ca/;56;9.21;0.00;0.05;61;[33,42,9,52,9,52,42,33,52,66,0,0];2025-09-09;Knowledge panel, Image pack, Sitelinks, Video, Related searches;navigational;Organic
blue gemstones;1;1;1600;20;0.36;https://rezagemcollection.ca/collections/blue-gemstones;55;9.04;19.00;0.39;69100000;[84,100,84,100,100,52,84,84,84,84,84,52];2025-11-17;Sitelinks, Video, Image, People also ask, Popular products, Related searches, AI overview;commercial, informational;AI overview
howlite;1;1;1600;14;0.25;https://rezagemcollection.ca/collections/howlite-gemstone-beads;55;9.04;13.00;0.24;10;[36,36,36,43,36,29,36,36,36,29,36,29];2025-11-15;Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview;informational;AI overview
august birth stone;9;9;1300;30;0.24;https://rezagemcollection.ca/collections/august-birthstone?page=2;31;5.09;7.00;1;10;[36,30,41,54,41,36,36,36,100,41,66,79];2025-11-25;Image pack, Sitelinks, Video, Featured snippet, Image, Ads bottom, Related searches;informational;Organic
green stones and gems;4;4;480;19;0.62;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;21;3.45;13.00;0.36;24600000;[81,100,54,54,54,81,81,19,29,10,44,15];2025-09-06;Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial, informational;Organic
green gemstones;7;7;1600;23;0.29;https://rezagemcollection.ca/collections/green-semi-precious-stones;20;3.28;5.00;0.21;284000000;[79,79,66,66,100,79,41,54,41,41,30,79];2025-11-25;Video, Image, People also ask, Related searches, AI overview;commercial, informational;Organic
unakite stone;1;1;320;8;0.42;https://rezagemcollection.ca/collections/unakite;19;3.12;7.00;0.5;10;[66,43,43,66,54,43,66,66,66,81,81,66];2025-11-12;Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview;commercial;AI overview
green precious stones;3;3;720;17;0.29;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;17;2.79;4.00;0.21;10;[81,45,81,45,100,81,20,24,20,20,20,45];2025-11-12;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
labradorite properties;1;1;480;33;0.09;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;16;2.63;1.00;0.11;1480000;[31,31,25,31,20,20,25,20,20,20,25,25];2025-11-26;Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;AI overview
birthstone for october born;7;7;1300;32;0.24;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;16;2.63;3.00;0.42;3560000;[5,5,3,3,15,24,13,43,100,1,1,0];2025-10-04;Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview;commercial, informational;Organic
labradorite crystal;1;1;720;31;0.25;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;12;1.97;3.00;0.99;4850000;[67,55,45,55,55,55,45,55,45,55,55,45];2025-10-05;Sitelinks, Video, Image, People also ask, Related searches;commercial;People also ask
green colored gems;5;5;590;32;0.29;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;11;1.8;3.00;0.21;161000000;[0,0,0,0,0,0,0,0,79,54,66,100];2025-10-09;Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;informational;Organic
howlite;9;9;1600;14;0.25;https://rezagemcollection.ca/collections/howlite-gemstone-beads;11;1.8;2.00;0.24;10;[36,36,36,43,36,29,36,36,36,29,36,29];2025-11-15;Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
ruby and zoisite;1;1;260;19;0.95;https://rezagemcollection.ca/collections/zoisite-gemstone-beads;10;1.64;9.00;0.44;1070000;[43,66,66,100,81,54,66,35,66,35,35,81];2025-11-18;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;commercial;People also ask
green stones;5;5;720;25;0.52;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;9;1.48;4.00;0.53;2530000000;[100,39,100,39,100,88,39,59,100,48,59,100];2025-10-07;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;informational;Organic
blue gemstones;9;9;1600;20;0.36;https://rezagemcollection.ca/collections/blue-gemstones;8;1.31;2.00;0.39;69100000;[84,100,84,100,100,52,84,84,84,84,84,52];2025-11-17;Sitelinks, Video, Image, People also ask, Popular products, Related searches, AI overview;commercial, informational;Organic
labradorite labradorite;1;1;1900;34;0.19;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;8;1.31;1.00;0.85;11100000;[5,5,7,18,24,29,53,100,44,35,100,18];2025-10-12;Sitelinks, Video, Image, Video Carousel, People also ask, Related searches;commercial, informational;People also ask
light blue gemstone;5;5;320;16;0.52;https://rezagemcollection.ca/collections/blue-gemstones;7;1.15;3.00;0.57;44000000;[66,82,82,66,100,66,82,66,100,53,82,100];2025-11-11;Image pack, Sitelinks, Video, Image, People also ask, Related searches;commercial, informational;Organic
ruby in zoisite;1;1;170;5;0.95;https://rezagemcollection.ca/collections/zoisite-gemstone-beads;6;0.98;5.00;0.44;10;[15,29,19,36,66,5,5,12,15,12,29,19];2025-11-20;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;commercial;People also ask
black pearl cookie;1;1;1300;38;0.00;https://rezagemcollection.ca/blogs/news/black-pearls;6;0.98;0.00;0;602000000;[10,8,13,13,8,16,29,44,44,53,44,24];2025-10-07;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches;navigational;People also ask
topaz beads;4;4;140;10;0.53;https://rezagemcollection.ca/collections/topaz-gemstone-beads;6;0.98;3.00;0.39;10;[52,66,66,66,80,66,66,66,66,52,66,52];2025-11-18;Knowledge panel, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches;transactional;Organic
pale blue gemstone;7;7;260;14;0.36;https://rezagemcollection.ca/collections/blue-gemstones;6;0.98;2.00;0.67;3510000;[100,81,65,81,81,100,6,65,100,81,100,43];2025-09-07;Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial;Organic
gem collection;2;2;70;23;0.63;https://rezagemcollection.ca/;5;0.82;3.00;0.7;272000000;[21,21,21,21,21,6,6,28,34,28,21,28];2025-11-27;Knowledge panel, Local pack, Sitelinks, Video, People also ask, Popular products, Related searches;commercial;Organic
green semi precious stone;4;4;210;16;0.62;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;5;0.82;3.00;0.36;23700000;[0,0,14,0,0,88,100,7,11,7,14,11];2025-09-07;Image pack, Video, Image, People also ask, Related searches;commercial;Organic
gem larimar;9;9;1300;35;0.15;https://rezagemcollection.ca/collections/larimar;5;0.82;0.00;1;1520000;[62,45,55,55,81,100,81,100,100,55,62,81];2025-10-04;Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;informational, transactional;Organic
ruby and zoisite;1;1;260;19;0.95;https://rezagemcollection.ca/blogs/news/ruby-zoisite-meaning;5;0.82;4.00;0.44;1070000;[43,66,66,100,81,54,66,35,66,35,35,81];2025-11-18;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;commercial;People also ask
deep green gemstone;5;5;140;15;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;4;0.65;0.00;0.44;27200000;[82,82,64,82,82,82,82,82,82,64,82,82];2025-08-27;Image pack, Video, Image, Related searches, AI overview;informational;Organic
names of green semi precious stones;6;6;260;26;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;4;0.65;0.00;0.14;1620000;[54,66,66,66,81,100,81,0,8,81,0,29];2025-09-05;Sitelinks, Video, Featured snippet, Image, People also ask, Popular products, Related searches, AI overview;informational;Organic
carnelian gem;8;8;880;34;0.37;https://rezagemcollection.ca/collections/carnelian-gemstone-beads;4;0.65;1.00;0.67;2580000;[46,52,46,100,68,37,20,16,37,31,20,37];2025-11-12;Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;informational, transactional;Organic
meaning of black pearl jam;1;1;140;33;0.00;https://rezagemcollection.ca/blogs/news/black-pearls;4;0.65;0.00;0;12500000;[42,53,53,42,65,53,53,53,53,53,53,100];2025-10-30;Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;People also ask
zoisite;1;1;390;35;0.00;https://rezagemcollection.ca/blogs/news/ruby-zoisite-meaning;4;0.65;0.00;0.1;1730000;[54,54,44,54,66,66,54,54,66,66,54,81];2025-09-09;Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview;commercial, informational;People also ask
dark green semi precious stone;4;4;140;17;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;4;0.65;0.00;0.44;14300000;[100,100,78,100,78,78,100,100,100,78,100,100];2025-08-27;Image pack, Video, Image, Popular products, Related searches;commercial, informational;Organic
blue gemstone;9;9;480;14;0.48;https://rezagemcollection.ca/collections/blue-gemstones;3;0.49;1.00;0.35;1200000000;[16,30,13,30,30,30,45,45,24,24,20,62];2025-09-06;Image pack, Video, Image, People also ask, Related searches;commercial, informational;Organic
dark green gemstone;3;3;140;21;4.01;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;3;0.49;12.00;0.47;45300000;[10,10,13,10,10,10,10,8,10,10,6,8];2025-11-26;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
ruby in zoisite;1;1;170;5;0.95;https://rezagemcollection.ca/blogs/news/ruby-zoisite-meaning;3;0.49;2.00;0.44;10;[15,29,19,36,66,5,5,12,15,12,29,19];2025-11-20;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;commercial;People also ask
pale blue semi precious gemstone;7;7;260;10;0.52;https://rezagemcollection.ca/collections/blue-gemstones;3;0.49;1.00;0.57;10;[53,66,66,82,100,66,66,82,66,53,35,66];2025-11-10;Image pack, Video, Image, Video Carousel, People also ask, Related searches;commercial;Organic
flame stone;1;1;140;6;0.00;https://rezagemcollection.ca/collections/yooperlite;3;0.49;0.00;0.03;191000000;[14,10,14,22,35,35,100,22,18,35,43,18];2025-09-09;Image pack, Video, People also ask, Popular products, Related searches;commercial;People also ask
light green precious stone;6;6;140;17;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;3;0.49;0.00;0.74;52900000;[82,82,64,64,52,82,100,64,82,64,82,64];2025-08-31;Image pack, Video, Image, Popular products, Related searches;commercial, informational;Organic
gemstone for august;4;4;90;8;0.28;https://rezagemcollection.ca/collections/august-birthstone;3;0.49;0.00;0.88;10;[6,6,5,15,15,4,12,19,23,9,9,19];2025-11-17;Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview;informational;Organic
pale blue precious stone;7;7;260;16;0.52;https://rezagemcollection.ca/collections/blue-gemstones;3;0.49;1.00;0.57;10;[53,66,66,82,100,66,66,82,66,53,35,66];2025-11-10;Image pack, Sitelinks, Video, Image, People also ask, Related searches;commercial, informational;Organic
rondelle beads;8;8;110;6;0.73;https://rezagemcollection.ca/collections/rondelle-shape-faceted-finish-gemstone-beads;2;0.32;1.00;1;1250000;[26,53,34,34,53,26,42,34,42,42,42,100];2025-08-24;Image pack, Video, Image, Popular products, Related searches;informational, transactional;Organic
blue semi precious gemstones;4;4;90;30;0.43;https://rezagemcollection.ca/collections/blue-gemstones;2;0.32;0.00;0.91;5030000;[81,63,81,81,81,100,81,63,63,81,63,81];2025-09-07;Image pack, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
light green stone;3;3;110;18;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;2;0.32;0.00;0.42;10;[64,64,52,64,52,41,52,64,64,52,64,64];2025-11-16;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
